ID,Location,Catalogue or inventory number or Provenance,Ht (= height),Diam,Plate reference,Description
153,Madrid,11054 (L. 375). ,Ht. 33, ,"PLATE 28 e,f ","no. 250; 9 July 1974, no. 95, ill. on p. 67 (formerly in Alnwick Castle, then Faustus Gallery, London). Ht. 34-3.  PLATE3c,*1 LCS, Suppl. Ill, p. 101, no. 71. (a) Satyr leaning against tree-trunk conversing with a small Eros above, seated woman turning her head to r. towards a half-draped youth holding a thyrsus, [b) maened, with bead-chain in r. hand and tambourine in 1., young satyr bending forward; between them, a duck. THE SICILIAN FORERUNNERS  29 "
154,Tampa,(Florida),Ht. 32, ,"PLATE 29 a, b ",
155,Madrid,11060 (L. 386). ,Ht. 35, ,"PLATE 29 c, d ","Dr. B. (a) Young satyr bending forward over raised 1. leg, holding egg in r. hand, standing draped woman with wreath, [b)? "
156,Naples,905 (inv. 82620). ,Ht. 29, ,"PLATE 29 e,f ",
157,Florence, Vagnonville 671. ,Ht. an, , ,"Seated woman, holding phiale in r. hand; part of a young satyr, bending forward behind her. "
158,Paestum,6249,Ht. 28, , ,
159,Paestum,1741,Ht. 30, , ,"dell' Osso, ArchCl 27, 1975, p. 346, no. 1, pis. 88 and 89,1 (where it is classed as Apulian); LCS, Suppl. Ill, p. 102, no. 74. (a) Young satyr with wine-skin in r. hand and torch in 1., [b) draped woman with thyrsus. "
160,Madrid, Garcia coll. ,Ht. 34, , ,"Cat. 1 (Dec. 1976), no. 34 (ill.); LCS, Suppl. Ill, p. 102, no. 73. (a) Nude woman with drapery over arms and behind her back at a laver with a nude satyr; above: lion-spout; below to r. inverted pointed amphora, [b) two nude women at a laver; above: tambourine. "
161,Pontecagnano, from T. 3711,Ht. 38, , ,
162,Once Basel Market, MuM. ,Ht. 37, ,"PLATE30a,A ","LCS, p. 206, no. 48 (where inventory nos. are incorrect); Suppl. Ill, p. 102, no. 76. (a) Two maenads with thyrsi, [b) young satyr pursuing maenad. "
163,Karlsruhe,92 (W. 351). ,Ht. 33, ,"PLATE 30 c, d ","PP, no. 23; PPSupp, no. 29; LCS, p. 206, no. 49; Suppl. Ill, p. 102, no. 77. On the Blacas "
164,Paestum,21622,Ht. 32, , ,"(a) Woman bending forward in front of seated woman, [b) similar, but the positions are reversed and the seated woman rests her r. hand on a tambourine (cf. no. 19). "
165,Berlin,3033. ,Ht. 33, ,"PLATE30e,f ","PP, no. 24; PPSupp, no. 30; LCS, p. 207, no. 50; Suppl. Ill, p. 102, no. 78. [a) Seated silen facing draped woman holding fillet and thyrsus, [b) silen pursuing maenad. The following vase looks as if it should go with the bell-kraters nos. 23—6 above, but it has been extensively repainted and it is therefore difficult to make a precise attribution. The seated figure on the obverse is, however, close to the corresponding one on no. 25 and the florals are similar to those on the obverse of that vase. Bell-krater "
166,Berlin,3032. ,Ht. 29, ,"PLATE31 a,b ","LCS, p. 207, no. 51; Suppl. Ill, p. 101, no. 72. (a) Standing woman and seated woman between two youths with spears, [b) two draped woman and a youth. (iv) Vases associated in style (a) Neck-amphora "
167,Tokyo, private coll. (ex New York and Tokyo Markets). ,Ht. an, ,"PLATE31 c,d ","Shqiperia Arkeologjike, pi. 105 (obverse); L'arte albanese nei secoli (Exhibition Cat., Museo "
168,Once Deepdene, Hope 264. ,Ht. 33, ,PLATE3,"(a) Amazonomachy—two Greek warriors and a mounted Amazon, [b) woman, holding mirror, seated between standing woman and bearded silen. Neck: [a) and [b) frontal owl, between olive branches. This vase, of particular interest for its Albanian provenience, is connected, both by its pattern-work and its treatment of the two subjects represented, with the works of the painters listed in divisions (i) and (ii) above. The picture on the obverse is framed between bands of chevron-pattern (cf. the Kropatschek oenochoe, no. 40 "
169,Paestum,21586,Ht. 35, , ,"reverse the scrolls flanking the picture have a diamond-shaped floral above a spiral, like those on nos. 23-6 above. The saltire squares which accompany the meanders find many parallels on other vases in the Dirce Group, and the small tree on the obverse is comparable to those on nos. 2, 3, and 7. The treatment of the reverse, and especially of the seated woman with the mirror, recalls nos. 5, 8 (reverse), 16, 20 and 22, and we may also note the wave-pattern on the inner rim of the shield, as on nos. 7 and 13. It is difficult to determine whether the vase is an import or a local imitation; "
170,Lost, once Naples, , , ,"by the Eros and Hare Painter (LCS, Suppl. Ill, p. 104, no. 100), and this may well have been the case, since the neck-amphora is a popular shape in that fabric and "
171,Paestum, from C. Andriuolo (1976),Ht. 31, ,PLATE 32 b ,(b) Minor Vases Both the figures and the pattern-work on the following vases connect them with those in divisions (i) to (iii) above. 
172,Paestum,HU,Ht. 37, ,PLATE33 a ,
173,Madrid,11232 (L. 400). ,Ht. 28, ,PLATE 33 a ,"LCS, Suppl. Ill, p. 102, no. 75. Seated woman with outstretched arms; silen seated beside rock; seated Eros with outspread wings. "
174,Naples,1777 (inv. 81740). ,Ht. 31, , ,
175,Madrid,11231 (L. 399). ,Ht. 37, , ,"Kneeling satyr with mirror, upper parts of seated woman and Eros. Skyphoi "
176,Hamburg, Termer coll. ,Ht. 33, ,PLATE34a ,"LCS, p. 206, no. 47; Suppl. Ill, p. 102, no. 80. [a) Woman with dish of eggs (cf. no. 13) and fillet in 1. hand, thyrsus in r., moving to 1., [b) young satyr with thyrsus and tambourine. "
177,Louvre,303. ,Ht. 35, ,PLATE34* ,"LCS, Suppl. II, p. 184, no. 52s; Suppl. Ill, p. 102, no. 82; Borda, Ceramica italiota, no. 5 (ill.). (a) Draped woman with thyrsus in r. hand, [b) young satyr with thyrsus. "
178,Naples, private coll. (2) 4,Ht. 37, ,PLATE35a ,"LCS, p. 207, no. 52; Suppl. Ill, p. 102, no. 81. (a) Woman, with wreath and tambourine, running to 1., [b) capering satyr. The floral is similar to those on nos. 25 and 33; the satyr to those on nos. 23 and 36. "
179,Pontecagnano,36402,Ht. 34, ,PLATE 35 b ,
180,Pontecagnano,36476,Ht. 39, ,"PLATE 36a, b ",
181,Once Paris Market,40 e ,Ht. 32, , ,"no. 85. Young satyr capering, with small phiale and twig. Cf. with reverse of no. 39. THE SICILIAN FORERUNNERS  31 Squat lekythos "
182,Paestum, Samarcande. ,Ht. 33, ,PLATE36a,
183,Paestum,21514, , , ,"Young satyr, playing the flute, and moving to 1. towards an altar. "
184,Madrid,40987, , , ,"Paestum; it certainly has stylistic affinities with some of the earlier vases in Chapter IV, but seems better placed here, since the floral is closer to those on nos. 25 and 33; the palmette scroll also finds a parallel on no. 36, as does the young satyr. "
185,Madrid,11462 (L. 440). ,Ht. (a, , ,
186,Paestum,11453 (L. 439). ,Ht. 41, ,"PLATE 38 a, A ","Painters (LCS, pp. 212-15; Suppl. I, p. 40; II, p. 135; III, pp. 107-10), who were merely included with the followers of the Dirce Painter in PP and PPSupp, but separately identified in LCS, should be united as a single painter. The stylistic connection between the vases previously attributed to the two painters is so close, especially in regard to the figures on the reverses, that they must be the work of the same hand. As with the vases of the Dirce Group, the proveniences are mixed; of "
187,Naples,48456,Ht. 42, , ,"none has an established Campanian provenience, it is likely that at least four (nos. "
188,Paestum,2389 (inv. 82158),Ht. 41, ,PLATE38c ,"none has a Sicilian provenience, two were found in Locri, one in Nola, and one (no. "
189,Paestum,22441,Ht. 39, ,PLATE 38 d ,
190,Paestum,48461,Ht. 42, ,"PLATE 38 e,f ","pania, since his work had a very strong influence upon early Campanian and also on Paestan; other artists may well have remained in Sicily since the larger vases associated with the Lentini-Manfria Group, like those by the Painter of the Lugano Pyxis, and in the Adrastos, Maron and Gibil Gabib Groups (LCS, Suppl. Ill, pp. 273-7) also reflect the influence of the Prado/Fienga Group. One point is worth making here, that on the vases of the Sicilian followers we seldom find dot-stripe "
191,Pontecagnano,48460,Ht. 26, ,"PLATE 39 c, d ","regular use. (i) The Prado/Fienga Painter The chief stylistic characteristics of this painter are set out in LCS, p. 214, but we may note, in particular, that: (a) the composition of the main pictures is more elaborate, often with four or five figures disposed on different levels, sometimes in active movement; the reverses regularly represent two draped figures, usually wrapped in a himation, at first with a plain border, later with a dot-stripe. Youths usually wear a white head-band or chaplet, women a saccos or a white radiate stephane. (b) the faces tend to look rather heavier, especially the chin, which is very "
192,Pontecagnano, from T. 569. , , ,"PLATE 39 e,f ","(c) kraters regularly have chequers or crossed squares with the meanders; the squares generally have a saltire cross, either with a large solid black triangle in the four divisions (e.g. nos. 42, 45-7), or two hollow triangles, one inside the other (nos. 43^1, 48); on some vases (nos. 49, 50, 58) the meander assumes a flatter, rectangular form, which is highly individual; wave-pattern is used on the bell-kraters nos. 51 and "
193,Paestum, from T. 3711,Ht. 17, ,PLATE 40 e ,"(d) a new type of floral appears on the side-scrolls, consisting of a saucer-shaped flower with a large cluster of dots in the centre (e.g. on nos. 50-1, 53, 55-7). (e)'there is a marked preference for Dionysiac subjects, nearly all the vases depicting maenads and satyrs, but not the god himself; thyrsi, tambourines, panther-skins and ivy wreaths appear with great frequency. (a) 'Prado' Calyx-kraters "
194,Paestum,40986,Ht. 18, ,PLATE 40 c ,"PPSupp, no. 14; LCS, p. 213, no. 70, pi. 84,1; Suppl. Ill, p. 107, no. 117. [a) Capering silen, maenad with tambourine, seated woman, draped woman bending forward, [b) two draped youths, with stele between them. "
195,Paestum, from S. Venera (1976),Ht. 16, ,PLATE40a,"LCS, p. 213, no. 71, pi. 84,2; Suppl. Ill, p. 107, no. 118. (a) Maenad in ecstasy between seated maenad with tambourine and silen coming up; top 1., upper part of maenad with thyrsus, behind rising ground, [b) two draped youths. "
196,Hamburg,48462,Ht. 25, ,"PLATE41 a, A ","CDU, fig. 123; MTL, fig. 439; LCS, Suppl. Ill, p. 108, no. 119, pi. 12,3 (reverse); Bernabo Brea and Cavalier, La ceramica policroma, p. 6, fig. 1 (colour). [a) Three maenads and a bearded silen, [b) two draped youths. "
197,Paestum, Schwarzkopf coll. ,Ht. 20, , ,"MEL, pp. 40-1; LCS, Suppl. Ill, p. 105, no. 120, pi. 12,4-5. (a) Woman, holding wreath, seated between woman seated on rock and standing woman with necklace and cista of jewellery, behind her stands a small Eros; top 1., satyr leaning over rocky ground, [b) two youths, 1. half-draped, holding wreath, r. draped, with stick. Bell-kraters "
198,Paestum,24261,Ht. 27, , ,"LCS, Suppl. I, p. 40, no. 81a; Suppl. Ill, p. 108, no. 121. (a) Four seated maenads and a silen, [b) two draped youths, with a stele between them (as on no. 42). "
199,Boston,22294,Ht. 22, ,PLATE41c ,"LCS, p. 212, no. 68, pi. 83,3; Suppl. Ill, p. 108, no. 122. (a) Maenad with tambourine, capering silen with tambourine, woman moving off to r., [b) bearded man between woman with thyrsus and woman who rests her r. elbow on his shoulder. (b) 'Fienga' The bell-krater no. 48 serves as an excellent link between these two divisions of the painter's work. The dotted flower accompanying the side-palmettes is similar to those on nos. 46-7 (cf. also the crescent-shaped leaf, which is like those on nos. 8 and 10 above); the lightly-sprung palmette leaves below it are repeated on nos. 49 and "
200,Paestum,12.423. ,Ht. 21, ,PLATE 41 d ,6814 (no. 46); the tambourine in the top right corner of the obverse of no. 49 finds a parallel in those on the reverse of the Fienga krater (no. 50) and on nos. 52 and 58. Bell-kraters 
201,Salerno,5639,Ht. 14, ,PLATE41 e ,"[a) Maenad, maenad with thyrsus and flapping fawn-skin, silen sleeping beside amphora, seated maenad with thyrsus, [b) two draped youths (1. with 'sling' drape, r. with stick). "
202,Paestum, Mus. Prov.,Ht. 13, ,PLATE41/ ,"NAC9,  1980, pi. 9, fig. 18; LCS, Suppl. Ill, p. 108, no. 123. pi. 12, 1-2. THE SICILIAN FORERUNNERS  33 (a) Three seated maenads and a silen, [b) draped woman with thyrsus, draped bearded silen with stick. "
203,Salerno,22949,Ht. 17, ,PLATE 42 a ,"PP-s, p. 165, no. 26a (where attributed to the Revel Painter); LCS, p. 215, no. 78; Suppl. Ill, p. 108, no. 124. (a) Above—bearded silen kneeling between two seated maenads; below—bearded silen with amphora seated beside seated maenad on whose lap sits a small Eros, [b) draped woman, holding thyrsus and tambourine, draped youth with wreath. "
204,Louvre, Mus. Prov. 1546,Ht. 19, ,"PLATE 42 b, c ","PPSupp, no. 26, pi. 2 c; LCS, p. 215, no. 81, pi. 85,1-2; Suppl. Ill, p. 108, no. 125. (a) Seated woman, holding tambourine, Eros with wreath, [b) draped youth and draped woman. "
205,Pontecagnano,24. ,Ht. 17, ,PLATE 42 a,"LCS, p. 215, no. 79; Suppl. Ill, p. 108, no. 126. (a) Silen approaching maenad, [b) draped youth, and another draped figure, of which only part of the himation remains. 53  Naples. Fragmentary, with large portions missing. Ht. 30-5. LCS, p. 215, no. 80; Suppl. Ill, p. 108, no. 127; this is perhaps the krater referred to by "
206,Paestum,26228,Ht. 26, , ,"noted the stylistic resemblance to early Paestan. (a) Seated woman, standing woman and Pan, [b) draped youth, with spray, and woman. Calyx-krater "
207,Paestum,21449,Ht. 16, , ,"LCS, p. 215, no. 83, pi. 85, 3-A; Suppl. Ill, p. 109, no. 129. (a) Seated maenad with fawn-skin, capering silen with fawn-skin over 1. arm, standing meanad with spray, [b) draped youth and draped woman, with stele between them. Skyphoid pyxides "
208,Paestum,32048,Ht. 17, ,PLATE42,"LCS, p. 215, no. 85; Suppl. Ill, p. 109, no. 130; Tullio, Coll. Arch., p. 42, pi. 12,2-3. Bowl—(a) nude woman with mirror, resting r. hand on drapery-covered pillar, [b) standing Eros with mirror. Lid—seated draped woman; seated Eros with mirror; seated woman with tambourine. "
209,Berlin,1749,Ht. 13, , ,"LCS Suppl. II, p. 185, no. 85*; Suppl. Ill, p. 109, no. 131. Bowl—(a) dancing maenad with thyrsus in r. hand moving to r., [b) dancing maenad with thyrsus in 1. hand and r. flung above her head. Lid—seated woman with phiale, seated Eros with mirror, seated woman with mirror. "
210,Naples,F3044,Ht. 8., ,PLATE 42/ ,
211,Madrid,3412 (inv. 82411),Ht. 24, ,"PLATE 43 a, b ","LCS, p. 215, no. 84; Suppl. Ill, p. 109, no. 132; Dareggi, Ceramica greca e italiota del museo di Baranello, p. 40, no. 42, pi. 17, a-c. (a) Standing draped woman to 1. holding fillet, (b) the like to r., with wreath. (0 The vases in this sub-division, while almost certainly the work of the painter himself, "
212,San Antonio,11094 (L. 369),Ht. 28, , ,"The skyphoid pyxis in Ragusa (no. 58) provides a good connecting link and is of particular interest, both for its shape and for its decoration. The two skyphoid pyxides (nos. 55-6) in sub-division (b) are similar in shape, but have figured scenes on the lid, as against an extremely well-drawn vine-wreath, with pendant bunches of black grapes on no. 58. Here the side palmettes are also more elaborate, and the rims "
